DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2022-01-03 16:45:00,Pirate Ship,41.963787,Validation
2021-12-04 15:30:00,Pirate Ship,31.012136,Validation
2020-10-03 14:00:00,Water Ride,22.322765,Validation
2021-06-26 10:45:00,Flying Coaster,32.064472,Validation
2020-10-07 13:45:00,Flying Coaster,7.865748,Validation
2021-06-20 09:45:00,Water Ride,16.065788,Validation
2022-03-01 10:15:00,Pirate Ship,30.45382,Validation
2021-09-07 10:15:00,Flying Coaster,15.83219,Validation
2021-11-01 13:15:00,Flying Coaster,39.319492,Validation
2021-09-15 16:00:00,Flying Coaster,9.41597,Validation
2021-07-15 11:30:00,Pirate Ship,23.187263,Validation
2021-11-22 12:00:00,Flying Coaster,9.150469,Validation
2021-08-22 18:30:00,Flying Coaster,4.5808773,Validation
2020-08-17 12:45:00,Water Ride,21.52833,Validation
2021-08-20 16:00:00,Flying Coaster,14.24581,Validation
2021-09-05 14:45:00,Water Ride,23.0363,Validation
2020-08-02 18:00:00,Pirate Ship,13.36439,Validation
2021-08-16 14:30:00,Pirate Ship,31.075457,Validation
2022-02-23 13:15:00,Pirate Ship,33.840767,Validation
2021-08-20 10:45:00,Flying Coaster,13.263656,Validation
2021-11-10 13:45:00,Flying Coaster,17.950544,Validation
2022-03-18 13:30:00,Pirate Ship,40.538166,Validation
2022-03-30 16:30:00,Pirate Ship,44.830494,Validation
2021-07-01 17:45:00,Flying Coaster,19.114382,Validation
2021-11-04 12:45:00,Water Ride,24.800613,Validation
2021-09-17 09:45:00,Pirate Ship,20.139559,Validation
2021-12-01 17:00:00,Flying Coaster,10.078761,Validation
2021-12-30 14:00:00,Water Ride,42.422745,Validation
2021-10-30 16:45:00,Pirate Ship,35.80072,Validation
2022-03-11 16:30:00,Flying Coaster,2.5543404,Validation
2020-09-20 13:30:00,Flying Coaster,21.924038,Validation
2022-02-21 09:15:00,Pirate Ship,35.318054,Validation
2022-01-30 15:45:00,Pirate Ship,26.516577,Validation
2021-12-15 09:30:00,Pirate Ship,37.25674,Validation
2021-08-01 18:15:00,Pirate Ship,26.81758,Validation
2021-07-26 15:15:00,Flying Coaster,7.863602,Validation
2020-07-20 14:30:00,Water Ride,23.084835,Validation
2021-09-14 15:30:00,Water Ride,20.493906,Validation
2021-10-05 14:15:00,Pirate Ship,18.320415,Validation
2021-08-27 16:30:00,Water Ride,30.391367,Validation
2021-12-08 15:45:00,Water Ride,32.091866,Validation
2021-10-10 18:15:00,Water Ride,9.648588,Validation
2021-08-22 18:30:00,Water Ride,17.622522,Validation
2022-01-09 18:00:00,Pirate Ship,14.701479,Validation
2022-03-18 17:00:00,Flying Coaster,11.375296,Validation
2021-08-23 14:15:00,Flying Coaster,22.714563,Validation
2021-10-26 13:00:00,Pirate Ship,32.300716,Validation
2021-12-01 10:45:00,Pirate Ship,30.94538,Validation
2021-12-19 10:30:00,Pirate Ship,33.86095,Validation
2020-08-04 13:15:00,Water Ride,23.974768,Validation
2021-10-18 14:00:00,Flying Coaster,33.02282,Validation
2020-10-17 12:30:00,Pirate Ship,28.57568,Validation
2020-08-14 12:15:00,Pirate Ship,30.626225,Validation
2022-03-03 15:45:00,Pirate Ship,32.928047,Validation
2020-08-06 09:30:00,Flying Coaster,20.262894,Validation
2021-10-16 15:00:00,Pirate Ship,33.513546,Validation
2021-12-08 11:45:00,Flying Coaster,24.774038,Validation
2022-03-27 14:30:00,Water Ride,32.149616,Validation
2021-10-11 14:45:00,Pirate Ship,24.387533,Validation
2021-08-19 18:45:00,Pirate Ship,24.126219,Validation
2021-10-12 16:15:00,Water Ride,29.791117,Validation
2021-10-15 14:00:00,Flying Coaster,22.691074,Validation
2021-09-14 13:15:00,Water Ride,19.068678,Validation
2021-08-25 10:30:00,Water Ride,28.804453,Validation
2020-07-26 15:00:00,Pirate Ship,27.644175,Validation
2022-01-02 17:45:00,Water Ride,22.388577,Validation
2022-01-08 13:15:00,Pirate Ship,33.653507,Validation
2020-09-15 11:15:00,Water Ride,9.027684,Validation
2022-01-08 19:45:00,Flying Coaster,8.630321,Validation
2021-08-06 18:15:00,Water Ride,19.554087,Validation
2020-08-01 16:30:00,Water Ride,23.653885,Validation
2021-12-09 13:15:00,Pirate Ship,35.063503,Validation
2020-10-05 12:15:00,Pirate Ship,11.114896,Validation
2021-09-04 17:45:00,Flying Coaster,9.975955,Validation
2022-03-20 09:30:00,Water Ride,36.11734,Validation
2021-11-06 17:15:00,Pirate Ship,24.449553,Validation
2021-09-25 16:30:00,Flying Coaster,35.833218,Validation
2022-01-04 13:30:00,Pirate Ship,34.00014,Validation
2021-07-30 12:30:00,Pirate Ship,26.164076,Validation
2020-07-27 14:15:00,Pirate Ship,24.698885,Validation
2021-09-19 17:15:00,Water Ride,18.371264,Validation
2020-09-11 14:30:00,Pirate Ship,16.47502,Validation
2021-11-18 19:00:00,Water Ride,1.8420702,Validation
2020-08-05 13:30:00,Flying Coaster,31.79075,Validation
2022-03-05 18:30:00,Pirate Ship,15.414183,Validation
2021-07-01 09:45:00,Pirate Ship,24.0288,Validation
2022-02-22 14:30:00,Water Ride,29.313364,Validation
2020-08-05 11:15:00,Flying Coaster,28.867723,Validation
2021-08-06 11:45:00,Pirate Ship,21.822628,Validation
2021-06-23 14:00:00,Flying Coaster,33.4516,Validation
2020-10-27 14:00:00,Flying Coaster,26.137424,Validation
2021-07-25 16:00:00,Flying Coaster,4.3803535,Validation
2021-10-19 13:15:00,Water Ride,33.794674,Validation
2020-09-10 13:15:00,Pirate Ship,18.174631,Validation
2021-10-07 15:15:00,Water Ride,12.899492,Validation
2022-01-19 09:15:00,Pirate Ship,25.164341,Validation
2022-02-01 12:30:00,Water Ride,12.455507,Validation
2020-07-15 10:00:00,Water Ride,14.029071,Validation
2020-08-19 10:15:00,Flying Coaster,19.427864,Validation
2021-06-17 15:15:00,Pirate Ship,12.166089,Validation
2020-09-13 13:15:00,Pirate Ship,25.735685,Validation
2020-08-08 15:15:00,Pirate Ship,37.078934,Validation
2020-07-16 15:45:00,Water Ride,14.3496,Validation
2021-11-21 12:45:00,Flying Coaster,23.897713,Validation
2020-10-04 11:45:00,Pirate Ship,19.786694,Validation
2021-07-30 17:45:00,Pirate Ship,22.169533,Validation
2021-09-05 12:00:00,Water Ride,20.093292,Validation
2020-07-29 13:30:00,Flying Coaster,27.532644,Validation
2022-03-25 13:30:00,Pirate Ship,38.22358,Validation
2020-10-24 10:15:00,Flying Coaster,37.08795,Validation
2022-02-19 11:30:00,Flying Coaster,35.82873,Validation
2021-06-27 16:00:00,Flying Coaster,27.195236,Validation
2021-12-28 14:30:00,Flying Coaster,38.868984,Validation
2022-02-15 17:00:00,Flying Coaster,6.835212,Validation
2021-09-12 11:30:00,Water Ride,22.293283,Validation
2021-12-14 13:45:00,Flying Coaster,25.760101,Validation
2020-08-18 16:30:00,Flying Coaster,14.430641,Validation
2020-08-12 11:15:00,Flying Coaster,22.031038,Validation
2020-10-29 10:30:00,Flying Coaster,30.696285,Validation
2022-02-21 15:30:00,Water Ride,22.839771,Validation
2021-07-23 14:15:00,Water Ride,17.53336,Validation
2021-10-19 15:45:00,Water Ride,26.644522,Validation
2020-07-28 10:15:00,Flying Coaster,18.274206,Validation
2021-06-27 12:30:00,Water Ride,14.727701,Validation
2022-02-26 17:00:00,Pirate Ship,21.840912,Validation
2021-12-11 18:00:00,Flying Coaster,6.881714,Validation
2021-10-13 12:00:00,Water Ride,21.232347,Validation
2021-10-09 13:30:00,Water Ride,27.986298,Validation
2020-09-11 09:45:00,Flying Coaster,12.413978,Validation
2022-03-08 10:45:00,Pirate Ship,28.09637,Validation
2021-08-28 17:45:00,Flying Coaster,9.658161,Validation
2021-09-07 10:15:00,Pirate Ship,19.339697,Validation
2022-01-03 11:45:00,Flying Coaster,32.844685,Validation
2020-08-13 16:45:00,Water Ride,14.731475,Validation
2021-12-20 15:45:00,Water Ride,34.284286,Validation
2020-09-26 11:45:00,Water Ride,19.64574,Validation
2020-09-24 12:45:00,Flying Coaster,4.3657646,Validation
2021-09-29 14:00:00,Flying Coaster,8.307009,Validation
2021-06-17 12:30:00,Flying Coaster,26.528797,Validation
2021-12-11 10:00:00,Pirate Ship,41.67972,Validation
2020-10-11 15:15:00,Water Ride,18.198187,Validation
2021-08-24 17:45:00,Water Ride,23.587294,Validation
2021-10-10 13:00:00,Pirate Ship,29.698015,Validation
2022-01-13 16:30:00,Pirate Ship,35.03783,Validation
2022-02-27 17:45:00,Flying Coaster,6.8083267,Validation
2020-08-18 10:45:00,Flying Coaster,26.86929,Validation
2020-08-08 11:00:00,Pirate Ship,24.450417,Validation
2021-10-12 16:15:00,Flying Coaster,7.578328,Validation
2021-12-01 10:45:00,Flying Coaster,29.622862,Validation
2021-10-31 11:15:00,Pirate Ship,25.457266,Validation
2021-08-20 10:45:00,Water Ride,28.464003,Validation
2021-09-28 10:15:00,Flying Coaster,13.949336,Validation
2020-09-02 12:30:00,Water Ride,9.599557,Validation
2021-10-23 18:00:00,Water Ride,16.713844,Validation
2022-03-15 11:45:00,Water Ride,28.995605,Validation
2021-10-15 11:15:00,Pirate Ship,22.60676,Validation
2021-10-21 13:00:00,Flying Coaster,24.50399,Validation
2022-03-31 11:00:00,Water Ride,20.99431,Validation
2022-03-16 13:00:00,Flying Coaster,25.843544,Validation
2022-01-09 12:45:00,Flying Coaster,24.732779,Validation
2022-03-20 14:30:00,Water Ride,39.326225,Validation
2020-08-29 17:15:00,Water Ride,22.455336,Validation
2020-10-14 15:00:00,Flying Coaster,8.872624,Validation
2021-12-21 09:15:00,Flying Coaster,30.737783,Validation
2021-08-16 10:45:00,Pirate Ship,26.068546,Validation
2021-10-04 10:30:00,Flying Coaster,12.690662,Validation
2021-08-01 13:00:00,Pirate Ship,28.856752,Validation
2021-08-29 10:45:00,Flying Coaster,21.368036,Validation
2022-03-29 12:30:00,Water Ride,38.51326,Validation
2020-10-29 10:30:00,Water Ride,21.721828,Validation
2021-10-09 13:30:00,Flying Coaster,36.486458,Validation
2020-10-16 09:30:00,Water Ride,17.53137,Validation
2021-07-25 13:15:00,Flying Coaster,10.254565,Validation
2021-08-05 18:00:00,Pirate Ship,27.672602,Validation
2021-08-18 12:30:00,Pirate Ship,29.626053,Validation
2021-08-09 11:15:00,Water Ride,27.019245,Validation
2022-03-15 11:45:00,Pirate Ship,32.239452,Validation
2021-12-26 19:45:00,Pirate Ship,15.703491,Validation
2021-11-07 16:15:00,Flying Coaster,7.302742,Validation
2021-11-26 13:45:00,Pirate Ship,27.946085,Validation
2021-09-02 17:45:00,Water Ride,17.120155,Validation
2020-08-12 17:15:00,Water Ride,18.277477,Validation
2022-02-24 10:15:00,Water Ride,31.661583,Validation
2021-07-17 13:30:00,Pirate Ship,29.378014,Validation
2020-10-16 11:45:00,Flying Coaster,27.044983,Validation
2022-02-09 14:30:00,Flying Coaster,17.23918,Validation
2020-09-10 15:15:00,Water Ride,8.056711,Validation
2020-08-30 11:45:00,Pirate Ship,18.626177,Validation
2020-10-22 11:30:00,Pirate Ship,24.218727,Validation
2020-08-12 17:15:00,Flying Coaster,10.965664,Validation
2020-10-08 11:45:00,Pirate Ship,12.640419,Validation
2022-02-09 11:00:00,Pirate Ship,28.590364,Validation
2020-07-13 18:00:00,Flying Coaster,5.505623,Validation
2022-01-11 10:00:00,Pirate Ship,39.1633,Validation
2021-08-19 18:45:00,Water Ride,19.314262,Validation
2022-03-21 12:15:00,Water Ride,29.150808,Validation
2021-10-30 16:45:00,Flying Coaster,31.911936,Validation
2020-09-16 12:45:00,Flying Coaster,8.314892,Validation
2020-08-05 16:30:00,Flying Coaster,17.499594,Validation
2020-08-02 12:00:00,Pirate Ship,22.399595,Validation
2020-08-09 16:45:00,Water Ride,18.660093,Validation
2021-11-12 13:45:00,Pirate Ship,32.600273,Validation
2021-12-09 17:00:00,Water Ride,23.90576,Validation
2021-11-26 13:45:00,Water Ride,27.91076,Validation
2021-10-05 14:15:00,Flying Coaster,9.80807,Validation
2021-09-20 17:45:00,Water Ride,11.531198,Validation
2021-12-24 12:00:00,Flying Coaster,22.935831,Validation
2022-02-26 17:00:00,Flying Coaster,9.711282,Validation
2020-09-05 11:15:00,Pirate Ship,24.587599,Validation
2021-07-27 16:00:00,Flying Coaster,7.1518936,Validation
2021-12-03 13:45:00,Flying Coaster,22.084463,Validation
2021-12-20 18:30:00,Flying Coaster,4.909409,Validation
2021-06-25 10:00:00,Pirate Ship,22.107346,Validation
