DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,WAIT_TIME_IN_2H
2018-12-15 09:45:00,Flying Coaster,756.0,0,10,435.0,125.0,735.0,40.0
2018-10-13 11:00:00,Water Ride,224.5,0,30,390.0,70.0,660.0,25.0
2019-12-14 12:00:00,Flying Coaster,756.0,0,30,300.0,0.0,600.0,45.0
2018-10-25 10:45:00,Pirate Ship,249.9,0,60,405.0,85.0,675.0,45.0
2018-10-14 18:00:00,Pirate Ship,280.5,0,40,-30.0,-350.0,180.0,35.0
2018-10-13 15:15:00,Pirate Ship,280.5,0,30,135.0,-185.0,405.0,45.0
2018-11-13 12:30:00,Water Ride,224.5,0,30,270.0,-40.0,390.0,30.0
2018-11-25 09:00:00,Flying Coaster,50.4,14,0,480.0,170.0,720.0,35.0
2018-10-05 13:00:00,Pirate Ship,246.5,0,25,270.0,-50.0,420.0,30.0
2018-12-29 17:15:00,Water Ride,247.0,0,45,-15.0,-325.0,285.0,30.0
2019-10-28 10:30:00,Water Ride,247.0,0,30,420.0,120.0,690.0,35.0
2020-01-01 13:15:00,Water Ride,247.0,0,30,225.0,-75.0,525.0,40.0
2019-10-29 18:45:00,Flying Coaster,756.0,0,25,-75.0,-375.0,195.0,5.0
2020-01-01 15:15:00,Flying Coaster,756.0,0,40,105.0,-195.0,405.0,25.0
2018-10-18 15:45:00,Flying Coaster,756.0,0,30,105.0,-215.0,255.0,5.0
2019-10-09 10:45:00,Flying Coaster,756.0,0,5,405.0,105.0,555.0,10.0
2019-12-30 09:15:00,Water Ride,202.0,0,5,465.0,165.0,765.0,20.0
2019-10-25 11:15:00,Flying Coaster,756.0,0,25,375.0,75.0,645.0,40.0
2018-12-03 12:15:00,Flying Coaster,756.0,0,15,285.0,-25.0,465.0,20.0
2019-01-03 10:00:00,Water Ride,247.0,0,20,420.0,110.0,720.0,50.0
2018-11-02 16:45:00,Flying Coaster,756.0,0,70,45.0,-275.0,315.0,60.0
2018-11-30 14:30:00,Flying Coaster,756.0,0,15,150.0,-160.0,270.0,10.0
2018-10-04 10:00:00,Pirate Ship,75.65,0,25,450.0,130.0,600.0,45.0
2018-10-17 14:00:00,Water Ride,224.5,0,10,210.0,-110.0,360.0,20.0
2018-10-11 17:45:00,Pirate Ship,153.0,0,25,-15.0,-335.0,135.0,20.0
2018-12-15 19:30:00,Flying Coaster,756.0,0,5,-150.0,-460.0,150.0,5.0
2018-11-30 14:45:00,Water Ride,224.5,0,25,135.0,-175.0,255.0,15.0
2018-10-30 16:00:00,Water Ride,224.5,0,30,90.0,-230.0,360.0,20.0
2019-10-14 13:15:00,Water Ride,247.0,0,30,255.0,-45.0,405.0,25.0
2019-10-23 17:45:00,Flying Coaster,756.0,0,20,-15.0,-315.0,255.0,20.0
2019-01-06 10:30:00,Water Ride,247.0,0,15,390.0,80.0,630.0,25.0
2019-10-27 11:00:00,Water Ride,247.0,0,40,390.0,90.0,660.0,30.0
2018-11-16 19:15:00,Water Ride,247.0,0,5,-135.0,-445.0,-15.0,15.0
2019-11-13 17:00:00,Flying Coaster,756.0,0,5,0.0,-300.0,120.0,0.0
2020-01-06 11:15:00,Pirate Ship,153.0,0,30,315.0,15.0,405.0,30.0
2018-10-05 12:30:00,Water Ride,224.5,0,20,300.0,-20.0,450.0,15.0
2018-12-09 16:30:00,Flying Coaster,756.0,0,20,30.0,-280.0,270.0,5.0
2018-11-10 16:30:00,Water Ride,224.5,0,25,30.0,-280.0,330.0,35.0
2018-10-27 10:30:00,Water Ride,148.133,4,15,420.0,100.0,690.0,50.0
2020-01-03 09:00:00,Pirate Ship,86.4167,0,5,480.0,180.0,780.0,45.0
2019-11-30 12:00:00,Water Ride,247.0,0,30,300.0,0.0,600.0,40.0
2020-01-03 12:30:00,Flying Coaster,756.0,0,35,270.0,-30.0,570.0,45.0
2019-10-10 12:15:00,Flying Coaster,756.0,0,30,315.0,15.0,465.0,25.0
2018-11-15 12:45:00,Water Ride,247.0,0,30,255.0,-55.0,375.0,30.0
2019-10-05 16:15:00,Flying Coaster,756.0,0,45,75.0,-225.0,345.0,35.0
2019-12-07 12:00:00,Flying Coaster,756.0,0,30,300.0,0.0,600.0,45.0
2019-11-15 16:30:00,Flying Coaster,756.0,0,5,30.0,-270.0,150.0,5.0
2019-10-21 18:30:00,Water Ride,247.0,0,25,-60.0,-360.0,210.0,25.0
2018-12-03 16:30:00,Water Ride,44.9,12,25,30.0,-280.0,210.0,40.0
2018-12-24 09:45:00,Water Ride,247.0,0,10,435.0,125.0,735.0,35.0
2019-10-08 14:15:00,Water Ride,247.0,0,30,195.0,-105.0,345.0,15.0
2019-12-20 20:45:00,Water Ride,247.0,0,20,-225.0,-525.0,-105.0,20.0
2019-12-23 11:30:00,Flying Coaster,756.0,0,30,330.0,30.0,630.0,25.0
2019-10-23 10:30:00,Water Ride,247.0,0,20,420.0,120.0,690.0,35.0
2018-11-28 16:15:00,Water Ride,247.0,0,15,45.0,-265.0,165.0,0.0
2018-11-28 13:00:00,Water Ride,247.0,0,20,240.0,-70.0,360.0,15.0
2019-09-28 11:00:00,Flying Coaster,730.8,0,50,390.0,90.0,660.0,60.0
2018-12-18 14:45:00,Flying Coaster,756.0,0,30,135.0,-175.0,255.0,15.0
2019-11-02 16:30:00,Water Ride,247.0,0,40,60.0,-240.0,330.0,30.0
2019-11-21 10:00:00,Flying Coaster,504.0,0,5,420.0,120.0,540.0,15.0
2019-11-19 15:30:00,Water Ride,247.0,0,15,90.0,-210.0,210.0,25.0
2019-11-22 16:00:00,Flying Coaster,756.0,0,15,60.0,-240.0,180.0,15.0
2018-12-18 18:15:00,Flying Coaster,756.0,0,5,-75.0,-385.0,45.0,5.0
2019-10-01 14:15:00,Water Ride,247.0,0,15,195.0,-105.0,345.0,10.0
2018-12-22 16:00:00,Flying Coaster,756.0,0,50,60.0,-250.0,360.0,35.0
2019-12-05 13:00:00,Flying Coaster,756.0,0,15,240.0,-60.0,360.0,5.0
2018-10-10 10:30:00,Pirate Ship,263.5,0,30,420.0,100.0,570.0,15.0
2018-10-03 16:15:00,Pirate Ship,153.0,0,30,75.0,-245.0,225.0,35.0
2019-12-16 09:45:00,Flying Coaster,554.4,0,5,435.0,135.0,555.0,15.0
2019-11-29 11:45:00,Water Ride,247.0,0,20,315.0,15.0,435.0,15.0
2019-12-21 10:00:00,Pirate Ship,187.0,0,30,420.0,120.0,720.0,30.0
2019-11-21 10:45:00,Water Ride,247.0,0,15,375.0,75.0,495.0,15.0
2018-10-30 15:00:00,Water Ride,224.5,0,25,150.0,-170.0,420.0,30.0
2018-10-27 10:15:00,Pirate Ship,153.0,0,45,435.0,115.0,705.0,50.0
2019-10-27 11:30:00,Water Ride,247.0,0,40,360.0,60.0,630.0,30.0
2018-12-03 17:30:00,Flying Coaster,756.0,0,5,-30.0,-340.0,150.0,15.0
2018-12-21 16:45:00,Flying Coaster,756.0,0,35,15.0,-295.0,135.0,5.0
2018-12-05 14:00:00,Water Ride,247.0,0,20,180.0,-130.0,360.0,15.0
2019-10-16 13:45:00,Flying Coaster,756.0,0,25,225.0,-75.0,375.0,20.0
2019-10-27 09:45:00,Water Ride,247.0,0,5,465.0,165.0,735.0,40.0
2019-11-09 15:00:00,Water Ride,247.0,0,40,120.0,-180.0,420.0,35.0
2019-12-26 18:00:00,Water Ride,247.0,0,45,-60.0,-360.0,240.0,30.0
2019-12-03 17:00:00,Flying Coaster,378.0,0,10,0.0,-300.0,120.0,5.0
2018-10-03 13:00:00,Pirate Ship,153.0,0,25,270.0,-50.0,420.0,20.0
2018-11-03 14:30:00,Pirate Ship,233.75,0,90,180.0,-140.0,450.0,75.0
2018-10-01 14:00:00,Pirate Ship,153.0,0,25,210.0,-110.0,360.0,25.0
2018-11-18 09:45:00,Water Ride,247.0,0,5,435.0,125.0,675.0,30.0
2019-11-20 14:45:00,Water Ride,247.0,0,15,135.0,-165.0,255.0,15.0
2019-12-25 13:30:00,Pirate Ship,249.9,0,30,210.0,-90.0,510.0,65.0
2019-10-05 13:15:00,Flying Coaster,756.0,0,50,255.0,-45.0,525.0,45.0
2018-10-25 11:00:00,Flying Coaster,756.0,0,40,390.0,70.0,660.0,50.0
2019-10-28 18:00:00,Flying Coaster,756.0,0,30,-30.0,-330.0,240.0,5.0
2018-10-17 13:45:00,Pirate Ship,280.5,0,15,225.0,-95.0,375.0,25.0
2018-12-10 15:15:00,Flying Coaster,756.0,0,30,105.0,-205.0,285.0,5.0
2020-01-06 10:00:00,Flying Coaster,378.0,0,5,390.0,90.0,480.0,15.0
2018-10-08 13:30:00,Water Ride,224.5,0,20,240.0,-80.0,390.0,15.0
2018-10-10 17:45:00,Pirate Ship,152.717,0,20,-15.0,-335.0,135.0,20.0
2018-12-09 09:30:00,Flying Coaster,756.0,0,10,450.0,140.0,690.0,30.0
2019-10-19 11:00:00,Flying Coaster,756.0,0,20,390.0,90.0,660.0,50.0
2019-10-13 15:00:00,Flying Coaster,604.8,3,35,150.0,-150.0,360.0,35.0
2018-12-20 10:00:00,Flying Coaster,378.0,0,10,360.0,50.0,480.0,5.0
2019-10-30 20:15:00,Flying Coaster,756.0,0,5,-165.0,-465.0,105.0,0.0
2018-12-07 17:00:00,Water Ride,179.6,3,25,0.0,-310.0,120.0,0.0
2018-11-30 19:00:00,Water Ride,224.5,0,0,-120.0,-430.0,0.0,5.0
2018-10-29 15:30:00,Flying Coaster,756.0,0,35,120.0,-200.0,390.0,15.0
2018-12-22 16:15:00,Flying Coaster,756.0,0,50,45.0,-265.0,345.0,35.0
2018-12-04 09:30:00,Flying Coaster,535.5,0,0,450.0,140.0,630.0,10.0
2018-10-03 11:45:00,Flying Coaster,756.0,0,5,345.0,25.0,495.0,10.0
2019-11-09 16:15:00,Flying Coaster,756.0,0,40,45.0,-255.0,345.0,25.0
2019-10-09 10:00:00,Flying Coaster,378.0,0,5,450.0,150.0,600.0,10.0
2018-10-02 11:45:00,Pirate Ship,153.0,0,20,345.0,25.0,495.0,15.0
2019-11-19 10:15:00,Water Ride,247.0,0,15,405.0,105.0,525.0,15.0
2018-10-29 15:15:00,Pirate Ship,212.217,0,30,135.0,-185.0,405.0,15.0
2018-10-30 15:15:00,Flying Coaster,756.0,0,25,135.0,-185.0,405.0,20.0
