DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,WAIT_TIME_IN_2H
2022-02-05 11:45:00,Water Ride,247.0,0,20,,,,30.0
2021-07-17 15:45:00,Pirate Ship,280.5,0,35,,,,35.0
2021-10-20 10:30:00,Pirate Ship,153.0,0,15,,,,10.0
2020-08-20 10:30:00,Water Ride,247.0,0,20,,,,25.0
2022-02-03 16:00:00,Pirate Ship,148.75,0,30,,,,20.0
2020-09-30 12:00:00,Pirate Ship,119.0,0,10,,,,20.0
2021-10-30 13:00:00,Pirate Ship,306.0,0,15,,,,35.0
2021-06-15 09:30:00,Pirate Ship,52.7,0,5,,,,15.0
2020-10-23 17:00:00,Water Ride,247.0,0,20,,,,10.0
2020-10-02 14:15:00,Flying Coaster,756.0,0,5,,,,5.0
2021-09-07 16:30:00,Flying Coaster,630.0,0,5,,,,15.0
2021-10-11 11:45:00,Flying Coaster,756.0,0,20,,,,25.0
2020-07-31 11:15:00,Pirate Ship,136.0,0,20,,,,15.0
2021-10-17 14:15:00,Flying Coaster,756.0,0,35,,,,25.0
2021-10-20 12:00:00,Pirate Ship,297.5,0,30,,,,30.0
2021-08-27 10:45:00,Flying Coaster,554.4,4,25,,,,15.0
2021-07-25 10:45:00,Pirate Ship,153.0,0,55,,,,25.0
2021-09-13 16:00:00,Flying Coaster,630.0,0,15,,,,10.0
2021-11-30 13:15:00,Flying Coaster,756.0,0,15,,,,15.0
2021-07-03 11:00:00,Flying Coaster,756.0,0,15,,,,45.0
2021-08-04 09:45:00,Pirate Ship,174.25,0,20,,,,30.0
2022-02-26 10:30:00,Pirate Ship,285.6,0,40,,,,35.0
2021-09-23 16:00:00,Pirate Ship,215.9,0,20,,,,15.0
2021-10-07 17:15:00,Pirate Ship,216.75,0,20,,,,0.0
2020-08-26 10:30:00,Flying Coaster,756.0,0,15,,,,15.0
2021-10-08 11:30:00,Water Ride,22.5,0,20,,,,15.0
2021-08-17 12:15:00,Flying Coaster,573.3,3,20,,,,20.0
2020-07-29 09:45:00,Pirate Ship,35.1333,0,10,,,,25.0
2021-12-06 15:00:00,Pirate Ship,216.75,0,30,,,,20.0
