DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,WAIT_TIME_IN_2H
2019-02-24 10:45:00,Water Ride,247.0,0,30,375.0,,495.0,25.0
2022-04-03 19:45:00,Pirate Ship,230.35,0,15,-135.0,,195.0,10.0
2022-05-30 09:15:00,Flying Coaster,176.4,0,5,495.0,,825.0,10.0
2019-09-22 11:45:00,Water Ride,247.0,0,15,345.0,,555.0,30.0
2019-01-10 14:30:00,Water Ride,247.0,0,15,120.0,,210.0,15.0
2019-08-28 19:30:00,Flying Coaster,756.0,0,25,-120.0,,210.0,15.0
2019-02-19 10:45:00,Water Ride,224.5,0,15,375.0,,495.0,25.0
2022-04-03 09:45:00,Pirate Ship,153.0,0,15,465.0,,795.0,45.0
2022-07-06 14:45:00,Water Ride,247.0,0,25,165.0,,495.0,25.0
2019-09-07 12:15:00,Flying Coaster,756.0,0,40,315.0,,585.0,50.0
2020-02-27 13:30:00,Flying Coaster,756.0,0,25,210.0,,390.0,35.0
2019-05-01 11:30:00,Flying Coaster,756.0,0,40,360.0,,630.0,45.0
2019-08-28 17:00:00,Water Ride,247.0,0,35,30.0,,360.0,25.0
2019-02-27 11:00:00,Water Ride,247.0,0,35,360.0,,510.0,20.0
2022-06-09 20:15:00,Flying Coaster,756.0,0,15,-165.0,,165.0,5.0
2019-06-08 18:15:00,Water Ride,247.0,0,40,-45.0,,285.0,30.0
2022-06-12 20:00:00,Water Ride,247.0,0,35,-150.0,,180.0,20.0
2019-05-24 10:00:00,Water Ride,115.267,8,5,450.0,,780.0,25.0
2022-07-02 12:30:00,Pirate Ship,306.0,0,25,300.0,,630.0,35.0
2019-07-25 18:15:00,Flying Coaster,756.0,0,5,-45.0,,285.0,15.0
2019-02-16 13:30:00,Flying Coaster,756.0,0,60,210.0,,390.0,70.0
2022-06-14 11:00:00,Water Ride,247.0,0,30,390.0,,720.0,35.0
2022-07-04 17:00:00,Flying Coaster,756.0,0,25,30.0,,360.0,15.0
2022-07-04 17:15:00,Flying Coaster,756.0,0,15,15.0,,345.0,15.0
2019-07-30 09:45:00,Water Ride,247.0,0,10,465.0,,795.0,30.0
2022-07-04 19:45:00,Flying Coaster,756.0,0,5,-135.0,,195.0,5.0
2019-02-15 14:30:00,Water Ride,224.5,0,25,150.0,,270.0,20.0
2019-08-27 13:15:00,Water Ride,247.0,0,20,255.0,,585.0,35.0
2019-01-10 10:45:00,Flying Coaster,756.0,0,5,345.0,,435.0,5.0
2022-06-16 10:30:00,Pirate Ship,148.75,0,25,420.0,,750.0,45.0
2019-04-10 15:00:00,Flying Coaster,756.0,0,30,150.0,,420.0,15.0
2020-01-13 13:00:00,Flying Coaster,756.0,0,10,210.0,,330.0,20.0
2019-07-27 16:30:00,Water Ride,247.0,0,20,60.0,,390.0,20.0
2019-02-03 16:45:00,Flying Coaster,756.0,0,25,-15.0,,135.0,5.0
2019-07-27 12:00:00,Water Ride,247.0,0,20,330.0,,660.0,20.0
2022-04-18 20:30:00,Flying Coaster,756.0,0,5,-180.0,,150.0,5.0
2020-01-10 10:15:00,Water Ride,197.6,3,0,375.0,,465.0,25.0
2022-07-24 14:30:00,Pirate Ship,301.75,0,30,180.0,,510.0,30.0
2022-06-10 16:30:00,Flying Coaster,756.0,0,30,60.0,,390.0,25.0
2022-06-02 13:30:00,Pirate Ship,306.0,0,40,240.0,,570.0,45.0
2022-05-21 14:30:00,Pirate Ship,301.75,0,45,180.0,,510.0,40.0
2022-08-03 20:30:00,Pirate Ship,272.0,0,25,-180.0,,150.0,30.0
2022-05-15 11:15:00,Water Ride,247.0,0,35,375.0,,705.0,45.0
2019-09-20 11:45:00,Flying Coaster,756.0,0,5,345.0,,585.0,25.0
2022-05-12 16:00:00,Water Ride,179.75,0,30,90.0,,420.0,45.0
2022-05-21 14:00:00,Flying Coaster,756.0,0,45,210.0,,540.0,40.0
2020-03-13 10:00:00,Flying Coaster,378.0,0,10,420.0,,570.0,5.0
2020-02-19 15:30:00,Pirate Ship,276.25,0,50,90.0,,270.0,70.0
2022-05-22 13:45:00,Water Ride,247.0,0,35,225.0,,555.0,50.0
2022-04-01 15:30:00,Water Ride,179.75,0,30,120.0,,330.0,35.0
2019-09-15 17:45:00,Flying Coaster,756.0,0,20,-15.0,,195.0,10.0
2019-07-13 17:15:00,Flying Coaster,756.0,0,35,15.0,,345.0,30.0
2022-07-31 17:30:00,Pirate Ship,301.75,0,20,0.0,,330.0,30.0
2019-07-04 11:45:00,Flying Coaster,756.0,0,25,345.0,,675.0,30.0
2022-05-12 13:45:00,Flying Coaster,756.0,0,30,225.0,,555.0,25.0
2019-04-20 15:15:00,Flying Coaster,756.0,0,50,135.0,,405.0,50.0
2022-07-02 09:30:00,Flying Coaster,630.0,0,0,480.0,,810.0,25.0
2020-01-31 12:00:00,Flying Coaster,756.0,0,15,270.0,,390.0,20.0
2019-05-09 14:30:00,Flying Coaster,756.0,0,10,180.0,,480.0,45.0
2019-09-11 18:30:00,Flying Coaster,756.0,0,15,-60.0,,150.0,5.0
2022-04-07 20:00:00,Water Ride,247.0,0,20,-150.0,,180.0,10.0
2019-08-08 17:45:00,Water Ride,247.0,0,25,-15.0,,315.0,30.0
2019-03-30 10:30:00,Flying Coaster,756.0,0,10,420.0,,570.0,80.0
2019-07-28 20:30:00,Flying Coaster,756.0,0,5,-180.0,,150.0,5.0
2019-05-29 12:45:00,Flying Coaster,756.0,0,35,285.0,,615.0,30.0
2022-05-20 15:30:00,Pirate Ship,306.0,0,35,120.0,,450.0,15.0
2019-06-07 19:00:00,Water Ride,247.0,0,25,-90.0,,240.0,10.0
2022-05-11 20:00:00,Water Ride,247.0,0,30,-150.0,,180.0,20.0
2022-05-02 16:30:00,Pirate Ship,301.75,0,35,60.0,,390.0,30.0
2022-08-11 11:45:00,Flying Coaster,756.0,0,50,345.0,,675.0,40.0
2022-04-20 16:30:00,Water Ride,247.0,0,35,60.0,,390.0,35.0
2022-05-29 17:15:00,Flying Coaster,756.0,0,15,15.0,,345.0,5.0
2022-05-17 10:15:00,Pirate Ship,144.5,0,25,435.0,,765.0,60.0
2019-04-04 19:15:00,Flying Coaster,378.0,0,10,-105.0,,165.0,5.0
2019-04-21 14:15:00,Water Ride,247.0,0,30,195.0,,465.0,35.0
2019-08-24 13:15:00,Water Ride,247.0,0,20,255.0,,585.0,30.0
2019-07-24 16:00:00,Water Ride,224.5,0,20,90.0,,420.0,20.0
2019-02-22 10:45:00,Water Ride,224.5,0,30,375.0,,495.0,15.0
2019-06-28 20:45:00,Flying Coaster,756.0,0,5,-195.0,,135.0,5.0
2022-04-14 19:30:00,Flying Coaster,756.0,0,15,-120.0,,210.0,5.0
2019-01-13 14:30:00,Flying Coaster,756.0,0,35,120.0,,270.0,15.0
2019-08-28 18:00:00,Water Ride,247.0,0,25,-30.0,,300.0,25.0
2019-03-25 17:00:00,Flying Coaster,756.0,0,30,30.0,,180.0,10.0
2019-08-23 17:30:00,Water Ride,247.0,0,25,0.0,,330.0,25.0
2019-03-21 11:15:00,Flying Coaster,724.5,0,5,375.0,,525.0,30.0
2019-03-29 12:00:00,Flying Coaster,756.0,0,40,330.0,,480.0,45.0
2019-07-31 09:45:00,Water Ride,247.0,0,10,465.0,,795.0,15.0
2019-06-07 11:15:00,Water Ride,247.0,0,20,375.0,,705.0,30.0
2022-05-19 12:00:00,Water Ride,247.0,0,20,330.0,,660.0,35.0
2022-05-27 09:15:00,Flying Coaster,630.0,0,0,495.0,,825.0,35.0
