,pearson_r_abs,spearman_rho_abs,f_stat,neg_log10_p,mutual_info,lasso_coef_abs,rf_importance,permutation_importance,vif,pearson_r_abs_norm,spearman_rho_abs_norm,f_stat_norm,neg_log10_p_norm,mutual_info_norm,lasso_coef_abs_norm,rf_importance_norm,permutation_importance_norm,keep_score,drop_flag
CURRENT_WAIT_TIME,0.5351497876967389,0.5265046098786222,14855.128432116737,300.0,0.22560907899621174,4.387537097548694,0.2306319220800967,0.45924226172957006,5562.358673193306,0.9999999999981284,0.9999999999980993,0.9999999999999999,0.9999999999999966,0.3417812214333936,0.9999999999997721,0.9999999999956459,0.9999999999978187,0.9177226526778568,False
CURRENT_WAIT_TIME_ma12,0.4872835943538891,0.48280729662417965,11526.091556690304,300.0,0.1867300979193134,2.865476130674229,0.085684048165338,0.24782699027513636,7.12008825732786,0.9104114852894596,0.9169438928445842,0.7758994120142394,0.9999999999999966,0.282600259091756,0.6530944507055018,0.36888794244630463,0.5388471801996526,0.680835577823937,False
CURRENT_WAIT_TIME_ma3,0.5288010945098167,0.5177972444556316,14368.747706317396,300.0,0.21985086419115163,0.7024979202360063,0.04691092219595704,0.09660589934646298,42766.1901072559,0.9881175010309869,0.9834497862267023,0.9672583360547451,0.9999999999999966,0.33301615907593873,0.1601121323004494,0.2000673406170822,0.20899384455855732,0.6051268874830573,False
CURRENT_WAIT_TIME_ma6,0.5104551469875849,0.4996145411464453,13043.806232911755,300.0,0.19868772817446878,0.3865805455017398,0.03089632679265911,0.04238738468113303,35.47505284581425,0.9537804026603799,0.9488896624590286,0.8780673254568556,0.9999999999999966,0.30080197236263356,0.08810878105569371,0.1303387962595476,0.09072887367364174,0.5488394767409721,False
CURRENT_WAIT_TIME_lag1,0.4851267727365708,0.47446762772134005,11392.948520581884,300.0,0.17607629701246807,0.0,0.006354030929129658,0.008967378251763391,5558.259373348997,0.9063746811967865,0.9010925650985091,0.766936629745784,0.9999999999999966,0.26638321397382314,0.0,0.023480113747753516,0.017830969484642127,0.48526227165591185,False
CURRENT_WAIT_TIME_lag2,0.44646640097600593,0.4344460320442101,9215.411057300214,300.0,0.15625140267077242,0.019994093436944905,0.007167702122630246,0.0083581361439528,5557.631610409106,0.8340161951290546,0.8250229468210876,0.6203514628812883,0.9999999999999966,0.23620607730601126,0.004557019802319392,0.027022888727680265,0.016502050745594528,0.44545983017662905,False
hour,0.3042002448939233,0.30625273382251994,3774.679271311024,300.0,0.10481879673607164,3.2727434908547695,0.01120741204413424,0.014177698641986236,inf,0.56774447543298,0.5813641147215934,0.25409802744680937,0.9999999999999966,0.1579161882543036,0.7459181354118914,0.04461203696149427,0.029196061152208873,0.42260612992265967,False
CURRENT_WAIT_TIME_lag3,0.4162372989248184,0.4045747170173086,7757.094906628194,300.0,0.1342823740530834,0.2637714747595638,0.008343191816086759,0.008931230062983552,7.716365401803276,0.7774380516710016,0.7682461118874546,0.5221820766401496,0.9999999999999966,0.2027651737819641,0.060118346328483965,0.03214104395844731,0.017752120690646602,0.42258036561976803,False
time_minutes,0.3037308365576477,0.3062491021361862,3761.855936423795,300.0,0.10501953565482491,2.026688580542424,0.04082901176801266,0.07913622479838937,inf,0.5668659097334354,0.5813572119235307,0.2532347997338997,0.9999999999999966,0.15822174982156126,0.46191941754162447,0.1735863243707311,0.17088784765787107,0.4207591575978313,False
cos_hour,0.34820444173762893,0.3345157863802222,5107.295071671801,300.0,0.10713007627867022,0.9812157714674975,0.03508551332787565,0.09189133942027494,24.16079772160738,0.6501047042470469,0.6350841022194357,0.3438056502804287,0.9999999999999966,0.16143438095850488,0.2236370313576327,0.14857877496563962,0.19871013804524787,0.42016934775924164,False
time,0.3037308365576477,0.3062491021361862,3761.855936423795,300.0,0.10237467454081628,0.0,0.04403390850332794,0.08659248208726582,inf,0.5668659097334354,0.5813572119235307,0.2532347997338997,0.9999999999999966,0.15419578459172623,0.0,0.1875406440736022,0.1871519238064434,0.3662932842328293,False
sin_hour,0.2420341898963432,0.28230856101006774,2303.349057190378,300.0,0.08962644775187201,0.0,0.036907048931211474,0.06611005143714314,43.45856780789567,0.4513916981682604,0.535853083614638,0.15505257422892776,0.9999999999999966,0.1347906379386557,0.0,0.15650985426657996,0.14247430621692952,0.3220090193042485,False
ADJUST_CAPACITY,0.1768973949046626,0.168992406576441,1195.7483308340336,257.1781125324683,0.14104628064091784,0.0,0.05864206071463307,0.1662375792758546,10.824513215292313,0.32947875066500104,0.3204714511087373,0.08049227846827561,0.8572312414663783,0.21306108406482993,0.0,0.2511454473044002,0.3608790197675921,0.30159490910565184,False
Pirate Ship,0.197568595211826,0.20213036172870255,1503.54695080665,300.0,0.0410371334528703,1.0649123793002067,0.00431372246301127,0.012854509079512555,9.133783790782042,0.36816789645730535,0.38345723556528616,0.10121234084614678,0.9999999999999966,0.06082876187900106,0.24271301999815065,0.014596483796447237,0.026309833522272716,0.2746606965080759,False
snow_1h,0.09122837903931198,0.031241023691148513,310.65546261184926,68.520255540672,0.6580264379529828,0.0,0.046278355891172164,0.09969527225826225,4.818202039352449,0.16913677751169595,0.05864543103180365,0.020910531670956925,0.22824336579756727,0.9999999999984779,0.0,0.1973131075858068,0.21573258684469043,0.23624772505512487,False
IS_WEEKEND,0.13909165349957744,0.14436141577662567,730.2575209385398,158.55564915199835,0.010556535979838078,2.0139727413910236,0.0028700823579725482,0.0055814529351188025,8.268404416609144,0.25871982910878044,0.27365497524774784,0.04915685981624115,0.5284225995999314,0.014431684557600187,0.4590212450889056,0.008310784996977188,0.010445367694124432,0.20027041826378855,False
sin_dow,0.13777011751171084,0.15202854014054876,716.1796074526964,155.55311729852852,0.029032583874422535,0.8081215641877427,0.015665736200041937,0.039747758741562556,2.959821015787949,0.2562463830705923,0.28822798798702837,0.0482091777064159,0.5184121173318961,0.042555628765628954,0.18418569375494376,0.06402385760614565,0.08497114890347221,0.18585399939076538,False
sin_month,0.12794873387252834,0.12248435605527792,616.0700464176972,134.16685058816975,0.023917898240938484,1.3106602348836156,0.009364447442846032,0.01936230274151627,4.139661085779416,0.2378642408702283,0.2320729355044834,0.041470108020362655,0.44711001159865793,0.034770136206915984,0.2987234536696179,0.03658765447076791,0.04050505876428874,0.17113794988816536,False
