index,reason,DATETIME,ENTITY_DESCRIPTION_SHORT
3,negative value in TIME_TO_PARADE_1=-135.0,2022-04-03 19:45:00,Pirate Ship
10,negative value in TIME_TO_PARADE_1=-120.0,2019-08-28 19:30:00,Flying Coaster
29,negative value in TIME_TO_PARADE_1=-165.0,2022-06-09 20:15:00,Flying Coaster
33,negative value in TIME_TO_PARADE_1=-45.0,2019-06-08 18:15:00,Water Ride
34,negative value in TIME_TO_PARADE_1=-150.0,2022-06-12 20:00:00,Water Ride
37,negative value in TIME_TO_PARADE_1=-30.0,2018-10-14 18:00:00,Pirate Ship
43,negative value in TIME_TO_PARADE_1=-45.0,2019-07-25 18:15:00,Flying Coaster
54,negative value in TIME_TO_PARADE_1=-135.0,2022-07-04 19:45:00,Flying Coaster
57,negative value in TIME_TO_PARADE_1=-15.0,2018-12-29 17:15:00,Water Ride
73,negative value in TIME_TO_PARADE_1=-75.0,2019-10-29 18:45:00,Flying Coaster
77,negative value in TIME_TO_PARADE_1=-15.0,2019-02-03 16:45:00,Flying Coaster
83,negative value in TIME_TO_PARADE_1=-180.0,2022-04-18 20:30:00,Flying Coaster
99,negative value in TIME_TO_PARADE_1=-180.0,2022-08-03 20:30:00,Pirate Ship
119,negative value in TIME_TO_PARADE_1=-15.0,2019-09-15 17:45:00,Flying Coaster
125,negative value in TIME_TO_PARADE_1=-15.0,2018-10-11 17:45:00,Pirate Ship
129,negative value in TIME_TO_PARADE_1=-150.0,2018-12-15 19:30:00,Flying Coaster
136,negative value in TIME_TO_PARADE_1=-60.0,2019-09-11 18:30:00,Flying Coaster
139,negative value in TIME_TO_PARADE_1=-150.0,2022-04-07 20:00:00,Water Ride
141,negative value in TIME_TO_PARADE_1=-15.0,2019-08-08 17:45:00,Water Ride
152,negative value in TIME_TO_PARADE_1=-180.0,2019-07-28 20:30:00,Flying Coaster
158,negative value in TIME_TO_PARADE_1=-90.0,2019-06-07 19:00:00,Water Ride
159,negative value in TIME_TO_PARADE_1=-150.0,2022-05-11 20:00:00,Water Ride
163,negative value in TIME_TO_PARADE_1=-15.0,2019-10-23 17:45:00,Flying Coaster
173,negative value in TIME_TO_PARADE_1=-105.0,2019-04-04 19:15:00,Flying Coaster
184,negative value in TIME_TO_PARADE_1=-195.0,2019-06-28 20:45:00,Flying Coaster
