iter	Passed	Remaining
0	29	13466
1	49	11166
2	74	11117
3	90	10048
4	107	9575
5	127	9402
6	144	9155
7	160	8890
8	174	8547
9	186	8211
10	203	8118
11	217	7948
12	226	7606
13	239	7470
14	256	7437
15	282	7669
16	309	7877
17	329	7918
18	353	8014
19	372	8012
20	394	8065
21	414	8058
22	437	8131
23	458	8135
24	500	8507
25	515	8412
26	528	8286
27	540	8142
28	559	8117
29	572	8012
30	584	7900
31	595	7780
32	605	7657
33	619	7581
34	631	7491
35	652	7509
36	678	7571
37	708	7683
38	724	7638
39	737	7561
40	753	7512
41	764	7423
42	772	7310
43	789	7280
44	802	7219
45	811	7128
46	822	7049
47	840	7036
48	861	7053
49	877	7018
50	902	7060
51	922	7057
52	944	7072
53	955	7007
54	974	6999
55	992	6980
56	1010	6964
57	1028	6949
58	1049	6952
59	1070	6960
60	1099	7014
61	1132	7084
62	1143	7023
63	1154	6960
64	1164	6895
65	1180	6865
66	1190	6807
67	1202	6753
68	1212	6693
69	1223	6641
70	1234	6589
71	1254	6587
72	1269	6555
73	1286	6535
74	1314	6571
75	1341	6602
76	1352	6551
77	1363	6502
78	1381	6489
79	1405	6499
80	1420	6471
81	1432	6427
82	1442	6376
83	1459	6357
84	1471	6319
85	1485	6289
86	1501	6265
87	1523	6268
88	1556	6312
89	1575	6300
90	1591	6280
91	1604	6242
92	1615	6201
93	1628	6168
94	1641	6135
95	1650	6087
96	1663	6054
97	1677	6024
98	1687	5981
99	1696	5936
100	1728	5972
101	1747	5962
102	1769	5962
103	1783	5932
104	1793	5891
105	1810	5875
106	1820	5835
107	1833	5807
108	1856	5806
109	1877	5804
110	1891	5775
111	1909	5764
112	1923	5737
113	1938	5712
114	1961	5712
115	1987	5723
116	2016	5739
117	2036	5728
118	2051	5705
119	2069	5691
120	2084	5667
121	2102	5651
122	2124	5648
123	2146	5643
124	2202	5727
125	2279	5861
126	2367	6020
127	2451	6166
128	2490	6198
129	2522	6208
130	2543	6192
131	2560	6167
132	2585	6163
133	2638	6222
134	2667	6223
135	2688	6206
136	2703	6175
137	2722	6154
138	2741	6133
139	2755	6101
140	2772	6076
141	2793	6059
142	2814	6042
143	2845	6045
144	2866	6030
145	2887	6011
146	2900	5978
147	2912	5942
148	2939	5939
149	2957	5914
150	2970	5881
151	2986	5855
152	3003	5831
153	3028	5820
154	3053	5810
155	3079	5803
156	3115	5813
157	3143	5810
158	3166	5794
159	3191	5784
160	3208	5758
161	3240	5761
162	3270	5758
163	3292	5741
164	3302	5704
165	3314	5669
166	3327	5638
167	3338	5603
168	3348	5568
169	3361	5536
170	3371	5500
171	3392	5482
172	3417	5472
173	3433	5446
174	3452	5426
175	3479	5416
176	3509	5412
177	3528	5391
178	3543	5365
179	3560	5341
180	3572	5309
181	3583	5276
182	3595	5246
183	3605	5212
184	3616	5179
185	3628	5149
186	3640	5119
187	3736	5206
188	3800	5248
189	3865	5289
190	3941	5345
191	4033	5419
192	4090	5446
193	4153	5481
194	4211	5506
195	4235	5489
196	4251	5459
197	4262	5424
198	4275	5392
199	4286	5358
200	4297	5323
201	4310	5291
202	4321	5258
203	4331	5223
204	4349	5198
205	4374	5181
206	4407	5174
207	4431	5156
208	4448	5129
209	4466	5105
210	4486	5081
211	4513	5066
212	4529	5040
213	4547	5015
214	4578	5004
215	4606	4990
216	4624	4965
217	4643	4941
218	4673	4929
219	4688	4901
220	4706	4876
221	4723	4850
222	4738	4823
223	4759	4802
224	4777	4777
225	4813	4771
226	4836	4750
227	4854	4726
228	4874	4704
229	4895	4682
230	4910	4654
231	4928	4631
232	4952	4612
233	4976	4593
234	4993	4568
235	5008	4542
236	5024	4516
237	5050	4499
238	5073	4478
239	5100	4463
240	5119	4439
241	5137	4415
242	5154	4390
243	5172	4366
244	5193	4345
245	5207	4318
246	5221	4291
247	5245	4272
248	5282	4263
249	5345	4276
250	5431	4306
251	5500	4322
252	5551	4322
253	5608	4327
254	5624	4300
255	5640	4274
256	5650	4243
257	5664	4215
258	5684	4191
259	5706	4169
260	5729	4149
261	5754	4129
262	5781	4111
263	5796	4084
264	5813	4058
265	5828	4031
266	5842	4004
267	5862	3980
268	5883	3958
269	5897	3931
270	5915	3907
271	5931	3881
272	5956	3861
273	5984	3844
274	6009	3824
275	6021	3795
276	6035	3769
277	6049	3743
278	6067	3718
279	6085	3694
280	6102	3670
281	6117	3644
282	6140	3623
283	6162	3602
284	6190	3584
285	6212	3562
286	6228	3537
287	6239	3509
288	6257	3486
289	6273	3461
290	6296	3440
291	6312	3415
292	6328	3390
293	6345	3367
294	6369	3346
295	6402	3331
296	6422	3308
297	6443	3286
298	6465	3265
299	6484	3242
300	6504	3219
301	6521	3196
302	6539	3172
303	6558	3149
304	6599	3137
305	6619	3114
306	6635	3090
307	6651	3066
308	6668	3042
309	6689	3020
310	6703	2996
311	6721	2973
312	6740	2950
313	6759	2927
314	6780	2906
315	6805	2885
316	6825	2863
317	6846	2841
318	6862	2817
319	6884	2796
320	6912	2777
321	6931	2755
322	6944	2730
323	6962	2707
324	6985	2686
325	7012	2667
326	7044	2649
327	7062	2627
328	7080	2604
329	7098	2581
330	7117	2558
331	7133	2535
332	7148	2511
333	7164	2488
334	7187	2467
335	7221	2450
336	7246	2429
337	7266	2407
338	7283	2384
339	7296	2360
340	7311	2337
341	7337	2316
342	7353	2294
343	7369	2270
344	7381	2246
345	7396	2223
346	7422	2203
347	7445	2182
348	7471	2162
349	7493	2141
350	7513	2119
351	7531	2096
352	7548	2074
353	7564	2051
354	7581	2028
355	7601	2007
356	7624	1986
357	7662	1969
358	7685	1948
359	7701	1925
360	7719	1903
361	7741	1881
362	7757	1859
363	7772	1836
364	7796	1815
365	7817	1794
366	7843	1773
367	7865	1752
368	7892	1732
369	7909	1710
370	7928	1688
371	7956	1668
372	7972	1645
373	7989	1623
374	8006	1601
375	8023	1579
376	8046	1558
377	8069	1537
378	8104	1518
379	8122	1496
380	8144	1474
381	8162	1452
382	8180	1431
383	8199	1409
384	8215	1387
385	8244	1367
386	8271	1346
387	8308	1327
