DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,TARGET_TIME
2022-04-30 12:15:00,Water Ride,247.0,0,45,315.0,,645.0,2022-04-30 14:15:00
2022-03-12 11:30:00,Water Ride,247.0,0,45,,,,2022-03-12 13:30:00
2019-10-11 15:15:00,Flying Coaster,756.0,0,25,135.0,-165.0,285.0,2019-10-11 17:15:00
2018-10-31 19:15:00,Water Ride,202.0,0,0,-165.0,-410.0,-35.0,2018-10-31 21:15:00
2019-08-03 19:45:00,Flying Coaster,756.0,0,20,-135.0,,195.0,2019-08-03 21:45:00
2020-08-29 17:15:00,Water Ride,247.0,0,30,,,,2020-08-29 19:15:00
2020-08-13 13:30:00,Pirate Ship,195.783,0,25,,,,2020-08-13 15:30:00
2021-12-19 10:30:00,Pirate Ship,306.0,0,25,,,,2021-12-19 12:30:00
2021-06-23 14:00:00,Flying Coaster,756.0,0,35,,,,2021-06-23 16:00:00
2019-02-09 10:00:00,Water Ride,247.0,0,5,420.0,,600.0,2019-02-09 12:00:00
2019-12-24 18:30:00,Flying Coaster,756.0,0,5,-90.0,-390.0,210.0,2019-12-24 20:30:00
2019-08-15 16:30:00,Flying Coaster,756.0,0,20,60.0,,390.0,2019-08-15 18:30:00
2019-10-24 14:30:00,Water Ride,247.0,0,45,180.0,-120.0,450.0,2019-10-24 16:30:00
2021-09-10 14:30:00,Pirate Ship,225.25,0,15,,,,2021-09-10 16:30:00
2021-09-13 10:45:00,Pirate Ship,267.75,0,15,,,,2021-09-13 12:45:00
2021-11-06 15:00:00,Pirate Ship,306.0,0,40,,,,2021-11-06 17:00:00
2022-06-16 15:15:00,Pirate Ship,293.25,0,30,135.0,,465.0,2022-06-16 17:15:00
2019-06-29 16:00:00,Flying Coaster,756.0,0,30,90.0,,420.0,2019-06-29 18:00:00
2022-04-09 15:00:00,Pirate Ship,229.5,0,45,150.0,,480.0,2022-04-09 17:00:00
2022-03-27 12:15:00,Water Ride,179.75,0,40,,,,2022-03-27 14:15:00
2019-11-23 10:45:00,Flying Coaster,756.0,0,15,375.0,75.0,675.0,2019-11-23 12:45:00
2018-11-12 10:30:00,Water Ride,224.5,0,15,390.0,80.0,510.0,2018-11-12 12:30:00
2020-10-07 16:00:00,Flying Coaster,756.0,0,10,,,,2020-10-07 18:00:00
2020-10-06 12:00:00,Pirate Ship,82.45,0,5,,,,2020-10-06 14:00:00
2020-02-29 17:15:00,Water Ride,224.5,0,25,-15.0,,225.0,2020-02-29 19:15:00
2021-09-18 19:00:00,Flying Coaster,630.0,0,25,,,,2021-09-18 21:00:00
2020-10-03 16:30:00,Pirate Ship,221.0,0,25,,,,2020-10-03 18:30:00
2020-09-28 15:45:00,Water Ride,224.5,0,15,,,,2020-09-28 17:45:00
2022-07-13 10:00:00,Flying Coaster,714.0,0,15,450.0,,780.0,2022-07-13 12:00:00
2021-09-02 15:15:00,Pirate Ship,306.0,0,25,,,,2021-09-02 17:15:00
2019-03-31 19:00:00,Flying Coaster,756.0,0,25,-90.0,,120.0,2019-03-31 21:00:00
2021-08-06 11:45:00,Pirate Ship,280.5,0,20,,,,2021-08-06 13:45:00
2020-08-11 16:30:00,Water Ride,49.4,12,20,,,,2020-08-11 18:30:00
2022-07-23 17:45:00,Water Ride,247.0,0,15,-15.0,,315.0,2022-07-23 19:45:00
2021-06-24 16:30:00,Flying Coaster,756.0,0,40,,,,2021-06-24 18:30:00
2020-09-14 10:45:00,Flying Coaster,756.0,0,5,,,,2020-09-14 12:45:00
2020-02-25 16:45:00,Water Ride,247.0,0,40,15.0,,195.0,2020-02-25 18:45:00
2019-07-16 10:00:00,Flying Coaster,756.0,0,5,450.0,,780.0,2019-07-16 12:00:00
2022-07-30 19:00:00,Pirate Ship,300.9,0,25,-90.0,,240.0,2022-07-30 21:00:00
2021-07-14 13:15:00,Pirate Ship,278.233,0,20,,,,2021-07-14 15:15:00
2021-10-04 10:30:00,Water Ride,224.5,0,10,,,,2021-10-04 12:30:00
2022-06-03 14:45:00,Pirate Ship,306.0,0,45,165.0,,495.0,2022-06-03 16:45:00
2021-12-28 12:15:00,Water Ride,247.0,0,70,,,,2021-12-28 14:15:00
2019-06-18 14:30:00,Water Ride,247.0,0,25,180.0,,510.0,2019-06-18 16:30:00
2021-09-05 18:00:00,Water Ride,247.0,0,20,,,,2021-09-05 20:00:00
