rmse,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
6.1752859490459935,0.9,0.1,8,400,0.9
6.1759672252855085,0.7,0.1,8,400,0.9
6.194018794961856,0.7,0.1,8,400,0.7
6.197986147090098,0.9,0.05,8,400,0.7
6.203305990225121,0.7,0.05,8,400,0.9
6.204080640534767,0.9,0.1,8,400,0.7
6.211576049351707,0.9,0.05,8,400,0.9
6.2306627365209035,0.7,0.05,8,400,0.7
6.303205588747496,0.9,0.1,8,200,0.9
6.332013650604922,0.7,0.1,8,200,0.7
6.343484396155392,0.9,0.1,8,200,0.7
6.345433311179297,0.7,0.1,8,200,0.9
6.408610513845761,0.9,0.1,6,400,0.9
6.43097934448439,0.7,0.1,6,400,0.9
6.451282569249157,0.7,0.1,6,400,0.7
6.474951121980446,0.9,0.1,6,400,0.7
6.487499492144473,0.9,0.05,8,200,0.7
6.48750169836481,0.7,0.05,8,200,0.9
6.511706909803458,0.9,0.05,8,200,0.9
6.537669508953722,0.7,0.05,8,200,0.7
6.672770053058522,0.9,0.05,6,400,0.9
6.7063439020817945,0.7,0.05,6,400,0.9
6.707838463197612,0.9,0.05,6,400,0.7
6.710888986097518,0.9,0.1,6,200,0.9
6.727118430029489,0.7,0.05,6,400,0.7
6.730006942051845,0.7,0.1,6,200,0.9
6.794672620152319,0.9,0.1,6,200,0.7
6.794921276910186,0.7,0.1,6,200,0.7
7.108549161937331,0.9,0.05,6,200,0.9
7.127928747643653,0.7,0.05,6,200,0.9
7.137316024813922,0.9,0.05,6,200,0.7
7.166069035386319,0.7,0.05,6,200,0.7
7.167856568854364,0.9,0.1,4,400,0.9
7.2155983218039115,0.7,0.1,4,400,0.7
7.218770959680845,0.9,0.1,4,400,0.7
7.237183325659866,0.7,0.1,4,400,0.9
7.539133702943294,0.9,0.05,4,400,0.7
7.56750837794375,0.7,0.05,4,400,0.7
7.572515589103435,0.9,0.05,4,400,0.9
7.595002483130301,0.9,0.1,4,200,0.9
7.605303489028683,0.9,0.1,4,200,0.7
7.6122918267153485,0.7,0.1,4,200,0.9
7.630349577566341,0.7,0.1,4,200,0.7
7.657964933514619,0.7,0.05,4,400,0.9
7.972999490742465,0.7,0.05,4,200,0.7
7.97938961412084,0.9,0.05,4,200,0.7
8.013067470111228,0.9,0.05,4,200,0.9
8.037400062716317,0.7,0.05,4,200,0.9
