rmse,colsample_bytree,learning_rate,max_depth,n_estimators,subsample
6.801196322311599,0.9,0.1,8,400,0.9
6.825403112033322,0.7,0.05,8,400,0.9
6.8315664782900765,0.9,0.1,8,400,0.7
6.844830676688331,0.7,0.1,8,400,0.9
6.854037574058783,0.7,0.05,8,400,0.7
6.871551731768464,0.7,0.1,8,400,0.7
6.8857614312991755,0.9,0.05,8,400,0.7
6.899960877613783,0.9,0.05,8,400,0.9
6.9027326662079025,0.9,0.1,8,200,0.9
6.939015540273528,0.9,0.1,8,200,0.7
6.943775560066995,0.7,0.1,8,200,0.9
6.945575680926505,0.7,0.1,8,200,0.7
7.017881152543629,0.9,0.1,6,400,0.9
7.02375517762171,0.7,0.1,6,400,0.9
7.064863211842092,0.7,0.05,8,200,0.9
7.074690085299307,0.7,0.05,8,200,0.7
7.079324469610438,0.9,0.1,6,400,0.7
7.10013551856938,0.7,0.1,6,400,0.7
7.104617618036584,0.9,0.05,8,200,0.7
7.105029375846836,0.9,0.05,8,200,0.9
7.237958449926954,0.9,0.05,6,400,0.9
7.247158864479207,0.7,0.05,6,400,0.9
7.248509807505686,0.7,0.05,6,400,0.7
7.26138100827008,0.9,0.1,6,200,0.9
7.286362647999273,0.9,0.05,6,400,0.7
7.291297038392873,0.7,0.1,6,200,0.9
7.313472991418341,0.9,0.1,6,200,0.7
7.32531835044576,0.7,0.1,6,200,0.7
7.544954586198527,0.9,0.05,6,200,0.9
7.575764684618581,0.7,0.05,6,200,0.7
7.587701547463614,0.9,0.05,6,200,0.7
7.599163210129852,0.7,0.05,6,200,0.9
7.631058712976019,0.9,0.1,4,400,0.9
7.635129664060308,0.9,0.1,4,400,0.7
7.6545835517494725,0.7,0.1,4,400,0.9
7.726278777753966,0.7,0.1,4,400,0.7
7.94527423803639,0.9,0.05,4,400,0.9
7.968337680465537,0.7,0.05,4,400,0.9
7.98035251176957,0.7,0.1,4,200,0.9
7.982265302459681,0.9,0.05,4,400,0.7
7.993326538945223,0.7,0.05,4,400,0.7
8.001754465512674,0.9,0.1,4,200,0.9
8.004419960151553,0.9,0.1,4,200,0.7
8.015427785614419,0.7,0.1,4,200,0.7
8.353425359911595,0.9,0.05,4,200,0.9
8.36172463875206,0.7,0.05,4,200,0.9
8.378619752431575,0.7,0.05,4,200,0.7
8.396378341495538,0.9,0.05,4,200,0.7
