DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,WAIT_TIME_IN_2H
2022-02-05 11:45:00,Water Ride,247.0,0,20,,,,30.0
2019-02-24 10:45:00,Water Ride,247.0,0,30,375.0,,495.0,25.0
2021-07-17 15:45:00,Pirate Ship,280.5,0,35,,,,35.0
2022-04-03 19:45:00,Pirate Ship,230.35,0,15,-135.0,,195.0,10.0
2021-10-20 10:30:00,Pirate Ship,153.0,0,15,,,,10.0
2022-05-30 09:15:00,Flying Coaster,176.4,0,5,495.0,,825.0,10.0
2019-09-22 11:45:00,Water Ride,247.0,0,15,345.0,,555.0,30.0
2019-01-10 14:30:00,Water Ride,247.0,0,15,120.0,,210.0,15.0
2020-08-20 10:30:00,Water Ride,247.0,0,20,,,,25.0
2022-02-03 16:00:00,Pirate Ship,148.75,0,30,,,,20.0
2019-08-28 19:30:00,Flying Coaster,756.0,0,25,-120.0,,210.0,15.0
2020-09-30 12:00:00,Pirate Ship,119.0,0,10,,,,20.0
2019-02-19 10:45:00,Water Ride,224.5,0,15,375.0,,495.0,25.0
2018-12-15 09:45:00,Flying Coaster,756.0,0,10,435.0,125.0,735.0,40.0
2021-10-30 13:00:00,Pirate Ship,306.0,0,15,,,,35.0
2022-04-03 09:45:00,Pirate Ship,153.0,0,15,465.0,,795.0,45.0
2021-06-15 09:30:00,Pirate Ship,52.7,0,5,,,,15.0
2022-07-06 14:45:00,Water Ride,247.0,0,25,165.0,,495.0,25.0
2019-09-07 12:15:00,Flying Coaster,756.0,0,40,315.0,,585.0,50.0
2018-10-13 11:00:00,Water Ride,224.5,0,30,390.0,70.0,660.0,25.0
2020-10-23 17:00:00,Water Ride,247.0,0,20,,,,10.0
2019-12-14 12:00:00,Flying Coaster,756.0,0,30,300.0,0.0,600.0,45.0
2020-02-27 13:30:00,Flying Coaster,756.0,0,25,210.0,,390.0,35.0
2019-05-01 11:30:00,Flying Coaster,756.0,0,40,360.0,,630.0,45.0
2019-08-28 17:00:00,Water Ride,247.0,0,35,30.0,,360.0,25.0
2020-10-02 14:15:00,Flying Coaster,756.0,0,5,,,,5.0
2019-02-27 11:00:00,Water Ride,247.0,0,35,360.0,,510.0,20.0
2021-09-07 16:30:00,Flying Coaster,630.0,0,5,,,,15.0
2021-10-11 11:45:00,Flying Coaster,756.0,0,20,,,,25.0
2022-06-09 20:15:00,Flying Coaster,756.0,0,15,-165.0,,165.0,5.0
2020-07-31 11:15:00,Pirate Ship,136.0,0,20,,,,15.0
2021-10-17 14:15:00,Flying Coaster,756.0,0,35,,,,25.0
2018-10-25 10:45:00,Pirate Ship,249.9,0,60,405.0,85.0,675.0,45.0
2019-06-08 18:15:00,Water Ride,247.0,0,40,-45.0,,285.0,30.0
2022-06-12 20:00:00,Water Ride,247.0,0,35,-150.0,,180.0,20.0
2021-10-20 12:00:00,Pirate Ship,297.5,0,30,,,,30.0
2021-08-27 10:45:00,Flying Coaster,554.4,4,25,,,,15.0
2018-10-14 18:00:00,Pirate Ship,280.5,0,40,-30.0,-350.0,180.0,35.0
2019-05-24 10:00:00,Water Ride,115.267,8,5,450.0,,780.0,25.0
2018-10-13 15:15:00,Pirate Ship,280.5,0,30,135.0,-185.0,405.0,45.0
2021-07-25 10:45:00,Pirate Ship,153.0,0,55,,,,25.0
2021-09-13 16:00:00,Flying Coaster,630.0,0,15,,,,10.0
2022-07-02 12:30:00,Pirate Ship,306.0,0,25,300.0,,630.0,35.0
2019-07-25 18:15:00,Flying Coaster,756.0,0,5,-45.0,,285.0,15.0
2019-02-16 13:30:00,Flying Coaster,756.0,0,60,210.0,,390.0,70.0
2018-11-13 12:30:00,Water Ride,224.5,0,30,270.0,-40.0,390.0,30.0
2021-11-30 13:15:00,Flying Coaster,756.0,0,15,,,,15.0
2022-06-14 11:00:00,Water Ride,247.0,0,30,390.0,,720.0,35.0
2021-07-03 11:00:00,Flying Coaster,756.0,0,15,,,,45.0
2022-07-04 17:00:00,Flying Coaster,756.0,0,25,30.0,,360.0,15.0
2022-07-04 17:15:00,Flying Coaster,756.0,0,15,15.0,,345.0,15.0
2018-11-25 09:00:00,Flying Coaster,50.4,14,0,480.0,170.0,720.0,35.0
2019-07-30 09:45:00,Water Ride,247.0,0,10,465.0,,795.0,30.0
2021-08-04 09:45:00,Pirate Ship,174.25,0,20,,,,30.0
2022-07-04 19:45:00,Flying Coaster,756.0,0,5,-135.0,,195.0,5.0
2018-10-05 13:00:00,Pirate Ship,246.5,0,25,270.0,-50.0,420.0,30.0
2019-02-15 14:30:00,Water Ride,224.5,0,25,150.0,,270.0,20.0
2018-12-29 17:15:00,Water Ride,247.0,0,45,-15.0,-325.0,285.0,30.0
2022-02-26 10:30:00,Pirate Ship,285.6,0,40,,,,35.0
2021-09-23 16:00:00,Pirate Ship,215.9,0,20,,,,15.0
2021-10-07 17:15:00,Pirate Ship,216.75,0,20,,,,0.0
2020-08-26 10:30:00,Flying Coaster,756.0,0,15,,,,15.0
2019-08-27 13:15:00,Water Ride,247.0,0,20,255.0,,585.0,35.0
2019-01-10 10:45:00,Flying Coaster,756.0,0,5,345.0,,435.0,5.0
2019-10-28 10:30:00,Water Ride,247.0,0,30,420.0,120.0,690.0,35.0
2021-10-08 11:30:00,Water Ride,22.5,0,20,,,,15.0
2021-08-17 12:15:00,Flying Coaster,573.3,3,20,,,,20.0
2020-07-29 09:45:00,Pirate Ship,35.1333,0,10,,,,25.0
2022-06-16 10:30:00,Pirate Ship,148.75,0,25,420.0,,750.0,45.0
2021-12-06 15:00:00,Pirate Ship,216.75,0,30,,,,20.0
2020-01-01 13:15:00,Water Ride,247.0,0,30,225.0,-75.0,525.0,40.0
2020-09-07 15:30:00,Water Ride,202.0,0,5,,,,5.0
2019-04-10 15:00:00,Flying Coaster,756.0,0,30,150.0,,420.0,15.0
2019-10-29 18:45:00,Flying Coaster,756.0,0,25,-75.0,-375.0,195.0,5.0
2021-12-08 17:45:00,Pirate Ship,216.75,0,60,,,,35.0
2020-01-13 13:00:00,Flying Coaster,756.0,0,10,210.0,,330.0,20.0
2019-07-27 16:30:00,Water Ride,247.0,0,20,60.0,,390.0,20.0
2019-02-03 16:45:00,Flying Coaster,756.0,0,25,-15.0,,135.0,5.0
2020-01-01 15:15:00,Flying Coaster,756.0,0,40,105.0,-195.0,405.0,25.0
